Benchmark                                   Mode  Cnt    Score    Error   Units
DDTraceBenchmark.testBuildSpan             thrpt   10  124.480 ±  6.190  ops/us
DDTraceBenchmark.testBuildStartSpan        thrpt   10    0.542 ±  0.210  ops/us
DDTraceBenchmark.testBuildStartSpanActive  thrpt   10    0.433 ±  0.136  ops/us
DDTraceBenchmark.testContinuationActivate  thrpt   10    1.408 ±  0.701  ops/us
DDTraceBenchmark.testContinuationCapture   thrpt   10   77.598 ± 16.400  ops/us
DDTraceBenchmark.testFullActiveSpan        thrpt   10    1.348 ±  0.935  ops/us
DDTraceBenchmark.testFullSpan              thrpt   10    0.976 ±  1.515  ops/us
DDTraceBenchmark.testBuildSpan              avgt   10    0.009 ±  0.003   us/op
DDTraceBenchmark.testBuildStartSpan         avgt   10    2.287 ±  0.937   us/op
DDTraceBenchmark.testBuildStartSpanActive   avgt   10    2.548 ±  1.400   us/op
DDTraceBenchmark.testContinuationActivate   avgt   10    0.744 ±  0.192   us/op
DDTraceBenchmark.testContinuationCapture    avgt   10    0.013 ±  0.003   us/op
DDTraceBenchmark.testFullActiveSpan         avgt   10    1.039 ±  0.564   us/op
DDTraceBenchmark.testFullSpan               avgt   10    1.789 ±  1.174   us/op
