Benchmark                                   Mode  Cnt    Score    Error   Units
DDTraceBenchmark.testBuildSpan             thrpt   10  124.865 ±  3.206  ops/us
DDTraceBenchmark.testBuildStartSpan        thrpt   10    0.595 ±  0.250  ops/us
DDTraceBenchmark.testBuildStartSpanActive  thrpt   10    0.390 ±  0.142  ops/us
DDTraceBenchmark.testContinuationActivate  thrpt   10    1.478 ±  0.575  ops/us
DDTraceBenchmark.testContinuationCapture   thrpt   10   81.097 ± 13.030  ops/us
DDTraceBenchmark.testFullActiveSpan        thrpt   10    1.365 ±  1.032  ops/us
DDTraceBenchmark.testFullSpan              thrpt   10    0.484 ±  0.246  ops/us
DDTraceBenchmark.testBuildSpan              avgt   10    0.008 ±  0.001   us/op
DDTraceBenchmark.testBuildStartSpan         avgt   10    2.406 ±  0.950   us/op
DDTraceBenchmark.testBuildStartSpanActive   avgt   10    2.943 ±  1.512   us/op
DDTraceBenchmark.testContinuationActivate   avgt   10    0.620 ±  0.223   us/op
DDTraceBenchmark.testContinuationCapture    avgt   10    0.012 ±  0.001   us/op
DDTraceBenchmark.testFullActiveSpan         avgt   10    1.496 ±  1.948   us/op
DDTraceBenchmark.testFullSpan               avgt   10    2.112 ±  1.857   us/op
